Names,Status,Error,Publications,No of Faculty Members,Mean Cites,Median Cites,Citation 5year Mean,Citation 5year Median,H-index 5year Mean,H-index 5year Median,I10 5year Mean,I10 5year Median,Mediancites:MeanCites,Citation 5y Mean:MeanCites,Citation 5y Mean:MedianCites,Citation 5y Median:MeanCites,Citation 5y Median:MedianCites,Citation 5y Median:Citation 5y Mean,Mean 5y Hindex:MeanCites,Mean 5y Hindex:MedianCites,Mean 5y Hindex:Citation 5y Mean,Mean 5y Hindex:Citation 5y MedianCites,Median 5y Hindex:MeanCites,Median 5y Hindex:MedianCites,Median 5y Hindex:Citation 5y Mean,Median 5y Hindex:Citation 5y MedianCites,Median 5y Hindex:Citation 5y H-indexMeanCites,I10 5year Mean:MeanCites,I10 5year Mean:MedianCites,I10 5y Mean:Citation 5y Mean,I10 5y Mean:Citation 5y MedianCites,I10 5y Mean:Citation 5y H-index Mean,I10 5y Mean:Citation 5y H-index Median,
abertay.ac.uk,Complete,,,98,649,224,349,150,7,6,8,4,,,,,,,,,,,,,,,,,,,,,,
aber.ac.uk,Complete,,,288,2004,474,942,270,11,8,19,7,0.533618689,0.969211497,0.442130859,0.687995503,0.892353078,0.60770069,0.862169283,0.574650481,0.851576616,0.751567651,0.703295427,0.702793202,0.651675265,0.874982931,0.909438112,0.930423022,0.426471738,0.97056346,0.585389527,0.878737418,0.665261364,
aru.ac.uk,Complete,,,68,1180,176,648,150,8,6,10,4,,,,,,,,,,,,,,,,0.737564577,0.798306877,0.666167894,0.959479484,0.84541178,0.949977713,0.660786725
aston.ac.uk,Complete,,,601,1606,439,838,296,10,8,15,7,,,,,,,,,,,,,,,,,,,,,,
bangor.ac.uk,Complete,,,433,2398,537,1144,354,11,9,20,9,,,,,,,,,,,,,,,,,,,,,,
bathspa.ac.uk,Complete,,,80,538,207,302,125,6,5,6,3,,,,,,,,,,,,,,,,,,,,,,
bbk.ac.uk,Complete,Diff. in profiles (excel:407) (folder:449),,407,2240,346,1028,237,10,7,17,6,,,,,,,,,,,,,,,,,,,,,,
bcu.ac.uk,No profiles found,did'nt match,NIL,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
bishopg.ac.uk,Complete,,,20,459,87,318,58,6,4,6,1,,,,,,,,,,,,,,,,,,,,,,
bournemouth.ac.uk,Complete,,,382,1171,245,736,193,10,7,12,5,,,,,,,,,,,,,,,,,,,,,,
brunel.ac.uk,Complete,,,709,2469,527,1238,344,11,9,19,8,,,,,,,,,,,,,,,,,,,,,,
bucks.ac.uk,Complete,,,25,558,161,289,109,6,5,7,3,,,,,,,,,,,,,,,,,,,,,,
canterbury.ac.uk,Complete,,,155,424,121,240,90,6,5,5,3,,,,,,,,,,,,,,,,,,,,,,
cardiffmet.ac.uk,Complete,,,136,844,173,505,134,8,6,10,4,,,,,,,,,,,,,,,,,,,,,,
cardiff.ac.uk,Complete,,,1502,2241,338,1130,245,11,8,19,7,,,,,,,,,,,,,,,,,,,,,,
city.ac.uk,Complete,,,657,1452,319,750,224,10,7,14,6,,,,,,,,,,,,,,,,,,,,,,
coventry.ac.uk,Complete,,,845,790,161,446,118,7,5,9,3,,,,,,,,,,,,,,,,,,,,,,
cranfield.ac.uk,Complete,,,558,1388,228,793,168,9,7,15,5,,,,,,,,,,,,,,,,,,,,,,
dmu.ac.uk,Complete,,,385,887,233,487,172,8,6,10,5,,,,,,,,,,,,,,,,,,,,,,
dur.ac.uk,Complete,Difference in profiles (excel:61) (folder:59),,61,2812,1166,1189,773,13,13,24,15,,,,,,,,,,,,,,,,,,,,,,
edgehill.ac.uk,Complete,,,204,927,240,544,191,9,6,12,4,,,,,,,,,,,,,,,,,,,,,,
napier.ac.uk,Complete,,,320,978,198,569,137,8,5,10,4,,,,,,,,,,,,,,,,,,,,,,
